time_us,led0_r,led0_g,led0_b,led1_r,led1_g,led1_b,led2_r,led2_g,led2_b,led3_r,led3_g,led3_b,led4_r,led4_g,led4_b,led5_r,led5_g,led5_b,led6_r,led6_g,led6_b,led7_r,led7_g,led7_b,led8_r,led8_g,led8_b,led9_r,led9_g,led9_b,led10_r,led10_g,led10_b,led11_r,led11_g,led11_b,led12_r,led12_g,led12_b,led13_r,led13_g,led13_b,led14_r,led14_g,led14_b,led15_r,led15_g,led15_b,led16_r,led16_g,led16_b,led17_r,led17_g,led17_b,led18_r,led18_g,led18_b,led19_r,led19_g,led19_b,led20_r,led20_g,led20_b
2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,67,355,0,1980,1121,605,0,916,11214,11258,0,0,380,512,1111,4,0,68,512,0,0,68,1729,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2750000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,0,0,0,5607,5629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8443,1192,12211,8443,1192,12211,5512,5533,540,1841,2503,18850
3000000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,749,5876,7675,8443,1192,12211,8443,1192,12211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8443,1192,12211,8443,1192,12211,5512,5533,540,1841,2503,18850
3250000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,749,5876,7675,749,5876,7675,8443,1192,12211,8443,1192,12211,0,0,0,5607,5629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8443,1192,12211,8443,1192,12211,5512,5533,540,1841,2503,18850
3500000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,1841,2503,18850,749,5876,7675,8443,1192,12211,8443,1192,12211,0,0,0,5607,5629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8443,1192,12211,8443,1192,12211,5512,5533,540,1841,2503,18850
3750000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,1841,2503,18850,749,5876,7675,8443,1192,12211,8443,1192,12211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8443,1192,12211,8443,1192,12211,5512,5533,540,1841,2503,18850
4000000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,1841,2503,18850,749,5876,7675,8443,1192,12211,8443,1192,12211,0,0,0,5607,5629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8443,1192,12211,8443,1192,12211,5512,5533,540,1841,2503,18850
4250000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,1841,2503,18850,749,5876,7675,8443,1192,12211,8443,1192,12211,0,0,0,5607,5629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8443,1192,12211,8443,1192,12211,5512,5533,540,1841,2503,18850
4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218,14177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9676,0,14657
4750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9676,0,14657
5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2462,0,1596,0,0,0,0,0,0,9676,0,14657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9676,0,14657
5250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11166,0,8025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9676,0,14657
5500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7649,0,5318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9676,0,14657
5750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4103,0,2661,0,0,0,0,0,0,9676,0,14657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9676,0,14657
6000000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,17840,5767,24115,8443,1192,12211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6250000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,666,6819,4155,8443,1192,12211,8443,1192,12211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6500000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,666,6819,4155,1245,6819,4405,8443,1192,12211,8443,1192,12211,0,0,0,0,0,0,0,0,0,17768,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6750000,18069,5841,24423,8443,1192,12211,8443,1192,12211,8738,2056,12211,749,5876,7675,1293,6819,4426,8443,1192,12211,8443,1192,12211,0,0,0,0,0,0,0,0,0,17768,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,1509,6073,7675,690,6819,4165,8443,1192,12211,8443,1192,12211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7250000,8443,1192,12211,8457,1235,12211,8443,1192,12211,8443,1192,12211,3670,12316,15350,3262,13638,9145,8443,1192,12211,8443,1192,12211,0,0,0,0,0,0,0,0,0,17768,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7500000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8841,2358,12211,776,5883,7675,666,6819,4155,8443,1192,12211,8443,1192,12211,0,0,0,0,0,0,0,0,0,17768,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7750000,749,5876,7675,749,5876,7675,749,5876,7675,749,5876,7675,749,5876,7675,749,5876,7675,749,5876,7675,749,5876,7675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8000000,749,5876,7675,749,5876,7675,749,5876,7675,749,5876,7675,749,5876,7675,749,5876,7675,749,5876,7675,749,5876,7675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8250000,749,5876,7675,749,5876,7675,749,5876,7675,749,5876,7675,749,5876,7675,8443,1192,12211,749,5876,7675,749,5876,7675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8500000,749,5876,7675,749,5876,7675,749,5876,7675,749,5876,7675,749,5876,7675,8443,1192,12211,749,5876,7675,749,5876,7675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8750000,749,5876,7675,749,5876,7675,749,5876,7675,749,5876,7675,749,5876,7675,8443,1192,12211,749,5876,7675,749,5876,7675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9000000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,0,0,0,0,0,0,0,0,0,0,0,0,1026,7723,0,0,0,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0
9250000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,2111,298,3053,8443,1192,12211,8443,1192,12211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0
9500000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,2111,298,3053,2111,298,3053,8443,1192,12211,8443,1192,12211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0
9750000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,666,6819,4155,2111,298,3053,8443,1192,12211,8443,1192,12211,0,0,0,0,0,0,0,0,0,0,0,0,1026,7723,0,0,0,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0
10000000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,666,6819,4155,2111,298,3053,8443,1192,12211,8443,1192,12211,0,0,0,0,0,0,0,0,0,0,0,0,1026,7723,0,0,0,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0
10250000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,666,6819,4155,2111,298,3053,8443,1192,12211,8443,1192,12211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0
10500000,8443,1192,12211,8443,1192,12211,8443,1192,12211,8443,1192,12211,666,6819,4155,2111,298,3053,8443,1192,12211,8443,1192,12211,0,0,0,0,0,0,0,0,0,0,0,0,1026,7723,0,0,0,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0,1026,7723,0
10750000,1841,2503,18850,1841,2503,18850,1841,2503,18850,1841,2503,18850,1841,2503,18850,1841,2503,18850,1841,2503,18850,1841,2503,18850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1907,2567,18850,1841,2503,18850,8232,9271,34931,1841,2503,18850,1907,2567,18850,1841,2503,18850,1841,2503,18850
11000000,1841,2503,18850,1841,2503,18850,1841,2503,18850,3108,3721,18850,1841,2503,18850,1841,2503,18850,1841,2503,18850,3441,4041,18850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841,2503,18850,4692,5375,22247,1841,2503,18850,2508,3144,18850,1841,2503,18850,1841,2503,18850,1841,2503,18850
11250000,1841,2503,18850,1841,2503,18850,1841,2503,18850,1841,2503,18850,1907,2567,18850,1841,2503,18850,1841,2503,18850,1841,2503,18850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3575,4169,18850,1841,2503,18850,3708,4297,18850,1841,2503,18850,1841,2503,18850,1841,2503,18850,6592,7476,29295
11500000,2307,2951,18850,1907,2567,18850,1841,2503,18850,1907,2567,18850,1841,2503,18850,2307,2951,18850,9018,10134,37701,1841,2503,18850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841,2503,18850,3641,4233,18850,1907,2567,18850,1841,2503,18850,1841,2503,18850,9018,10134,37701,1841,2503,18850
11750000,11213,1095,7665,11213,1095,7665,11213,2007,7985,11213,1095,7665,11213,1095,7665,11213,1095,7665,11213,1095,7665,11213,1095,7665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11213,1650,7859,11213,1134,7678,11213,1095,7665,11213,1095,7665,22426,5364,16443,11213,1095,7665,11213,1095,7665
12000000,11213,1095,7665,11213,1571,7831,11213,1134,7678,11213,1134,7678,22426,5364,16443,11213,1095,7665,11213,1095,7665,22289,5331,16343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11213,1134,7678,11213,1095,7665,11213,1095,7665,22426,5364,16443,11213,1095,7665,11213,1095,7665,22426,5364,16443
12250000,11213,1095,7665,11213,1095,7665,11213,1095,7665,11213,1095,7665,11213,1095,7665,11213,1729,7887,11213,1134,7678,11213,1095,7665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11213,1095,7665,11213,1095,7665,22426,5364,16443,11213,1095,7665,11213,1095,7665,22426,5364,16443,11213,1095,7665
12500000,11213,1095,7665,11213,2007,7985,11213,1095,7665,11213,1134,7678,11213,1095,7665,11213,1095,7665,21189,4993,15509,21623,5172,15854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11213,1095,7665,21953,5251,16095,11213,1095,7665,11213,1095,7665,22426,5364,16443,11213,1095,7665,21760,5205,15954
