time_us,out0,out1,out2,out3,out4,out5,out6,out7
6375096,-8.7497,-7.6736,-0.1059,0.0000,0.0000,0.0000,0.0000,0.0000
6500208,-6.1862,-0.1773,4.2984,0.0000,0.0000,0.0000,0.0000,0.0000
6625008,-0.0107,7.4811,7.5339,0.0000,0.0000,0.0000,0.0000,0.0000
6750120,6.1871,7.6614,8.7491,0.0000,0.0000,0.0000,0.0000,0.0000
6875232,8.7497,0.1624,7.6059,0.0000,0.0000,0.0000,0.0000,0.0000
7000032,6.1926,-7.4850,4.4257,0.0000,0.0000,0.0000,0.0000,0.0000
7125144,-0.0012,-7.6605,0.0464,0.0000,0.0000,0.0000,0.0000,0.0000
7250256,-6.1917,-0.1657,-4.3423,0.0000,0.0000,0.0000,0.0000,0.0000
7375056,-8.7497,7.4811,-7.5558,0.0000,0.0000,0.0000,0.0000,0.0000
7500168,-6.1856,7.6660,-8.7494,0.0000,0.0000,0.0000,0.0000,0.0000
7625280,0.0067,0.1801,-7.5891,0.0000,0.0000,0.0000,0.0000,0.0000
7750080,6.1819,-7.4808,-4.4006,0.0000,0.0000,0.0000,0.0000,0.0000
7875192,8.7497,-7.6602,-0.0211,0.0000,0.0000,0.0000,0.0000,0.0000
8000304,6.1819,-0.1569,4.3616,0.0000,0.0000,0.0000,0.0000,0.0000
8125104,0.0070,7.4893,7.5659,0.0000,0.0000,0.0000,0.0000,0.0000
8250216,-6.1884,7.6550,8.7497,0.0000,0.0000,0.0000,0.0000,0.0000
8375016,-8.7497,0.1746,7.5873,0.0000,0.0000,0.0000,0.0000,0.0000
8500128,-6.1868,-7.4951,4.3848,0.0000,0.0000,0.0000,0.0000,0.0000
8625240,0.0061,-7.6541,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000
8750040,6.1816,-0.1785,-4.3622,0.0000,0.0000,0.0000,0.0000,0.0000
8875152,8.7497,7.4902,-7.5735,0.0000,0.0000,0.0000,0.0000,0.0000
9000264,6.1819,7.6602,-8.7497,0.0000,0.0000,0.0000,0.0000,0.0000
9125064,0.0067,0.1947,-7.5827,0.0000,0.0000,0.0000,0.0000,0.0000
9250176,-6.1887,-7.4893,-4.3781,0.0000,0.0000,0.0000,0.0000,0.0000
9375288,-8.7497,-7.6550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9500088,-6.1917,-0.1727,4.3665,0.0000,0.0000,0.0000,0.0000,0.0000
9625200,0.0021,7.4976,7.5757,0.0000,0.0000,0.0000,0.0000,0.0000
9750000,6.1801,7.6617,8.7497,0.0000,0.0000,0.0000,0.0000,0.0000
9875112,8.7497,0.1578,7.5787,0.0000,0.0000,0.0000,0.0000,0.0000
10000224,6.1826,-7.5003,4.3735,0.0000,0.0000,0.0000,0.0000,0.0000
10125024,0.0073,-7.6620,0.0073,0.0000,0.0000,0.0000,0.0000,0.0000
10250136,-6.1887,-0.1639,-4.3741,0.0000,0.0000,0.0000,0.0000,0.0000
10375248,-8.7497,7.4951,-7.5784,0.0000,0.0000,0.0000,0.0000,0.0000
10500048,-6.1920,7.6688,-8.7497,0.0000,0.0000,0.0000,0.0000,0.0000
10625160,0.0021,0.1807,-7.5769,0.0000,0.0000,0.0000,0.0000,0.0000
10750272,6.1923,-7.4936,-4.3716,0.0000,0.0000,0.0000,0.0000,0.0000
10875072,8.7497,-7.6639,-0.0058,0.0000,0.0000,0.0000,0.0000,0.0000
11000184,6.1853,-0.1593,4.3747,0.0000,0.0000,0.0000,0.0000,0.0000
11125296,-0.0073,7.5015,7.5787,0.0000,0.0000,0.0000,0.0000,0.0000
11250096,-6.1819,7.6596,8.7497,0.0000,0.0000,0.0000,0.0000,0.0000
11375208,-8.7497,0.1559,7.5769,0.0000,0.0000,0.0000,0.0000,0.0000
11500008,-6.1942,-7.4887,4.3814,0.0000,0.0000,0.0000,0.0000,0.0000
11625120,0.0003,-7.6572,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000
11750232,6.1914,-0.1587,-4.3774,0.0000,0.0000,0.0000,0.0000,0.0000
11875032,8.7497,7.4844,-7.5742,0.0000,0.0000,0.0000,0.0000,0.0000
12000144,6.1859,7.6630,-8.7497,0.0000,0.0000,0.0000,0.0000,0.0000
12125256,-0.0070,0.1746,-7.5748,0.0000,0.0000,0.0000,0.0000,0.0000
12250056,-6.1823,-7.4835,-4.3793,0.0000,0.0000,0.0000,0.0000,0.0000
12375168,-8.7497,-7.6581,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000
12500280,-6.1819,-0.1526,4.3784,0.0000,0.0000,0.0000,0.0000,0.0000
12625080,-0.0067,7.4915,7.5745,0.0000,0.0000,0.0000,0.0000,0.0000
12750192,6.1887,7.6538,8.7497,0.0000,0.0000,0.0000,0.0000,0.0000
12875304,8.7497,0.1495,7.5751,0.0000,0.0000,0.0000,0.0000,0.0000
13000104,6.1920,-7.4905,4.3793,0.0000,0.0000,0.0000,0.0000,0.0000
13125216,-0.0021,-7.6562,-0.0003,0.0000,0.0000,0.0000,0.0000,0.0000
13250016,-6.1801,-0.1810,-4.3683,0.0000,0.0000,0.0000,0.0000,0.0000
13375128,-8.7497,7.4899,-7.5769,0.0000,0.0000,0.0000,0.0000,0.0000
13500240,-6.1823,7.6605,-8.7497,0.0000,0.0000,0.0000,0.0000,0.0000
13625040,-0.0067,0.1944,-7.5797,0.0000,0.0000,0.0000,0.0000,0.0000
13750152,6.1887,-7.4896,-4.3738,0.0000,0.0000,0.0000,0.0000,0.0000
13875264,8.7497,-7.6547,0.0046,0.0000,0.0000,0.0000,0.0000,0.0000
14000064,6.1917,-0.1718,4.3704,0.0000,0.0000,0.0000,0.0000,0.0000
14125176,-0.0027,7.4979,7.5775,0.0000,0.0000,0.0000,0.0000,0.0000
14250288,-6.1926,7.6501,8.7497,0.0000,0.0000,0.0000,0.0000,0.0000
14375088,-8.7497,0.1678,7.5797,0.0000,0.0000,0.0000,0.0000,0.0000
14500200,-6.1853,-7.4973,4.3738,0.0000,0.0000,0.0000,0.0000,0.0000
14625000,-0.0095,-7.6639,0.0070,0.0000,0.0000,0.0000,0.0000,0.0000
14750112,6.1877,-0.1660,-4.3744,0.0000,0.0000,0.0000,0.0000,0.0000
14875224,8.7497,7.4942,-7.5790,0.0000,0.0000,0.0000,0.0000,0.0000
15000024,6.1923,7.6691,-8.7497,0.0000,0.0000,0.0000,0.0000,0.0000
15125136,-0.0018,0.1810,-7.5763,0.0000,0.0000,0.0000,0.0000,0.0000
15250248,-6.1920,-7.4936,-4.3707,0.0000,0.0000,0.0000,0.0000,0.0000
15375048,-8.7497,-7.6636,-0.0046,0.0000,0.0000,0.0000,0.0000,0.0000
15500160,-6.1853,-0.1590,4.3756,0.0000,0.0000,0.0000,0.0000,0.0000
15625272,0.0070,7.5015,7.5793,0.0000,0.0000,0.0000,0.0000,0.0000
15750072,6.1823,7.6593,8.7497,0.0000,0.0000,0.0000,0.0000,0.0000
15875184,8.7497,0.1556,7.5766,0.0000,0.0000,0.0000,0.0000,0.0000
