1779449187.413597 server started (28679): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1779449187.413611 on Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025
1779449187.413615 using libevent 2.1.12-stable poll
1779449187.413617 using ncurses 6.4 20240113
1779449187.413795 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1779449187.413797 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1779449187.413798 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1779449187.413800 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1779449187.413802 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1779449187.413804 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1779449187.413805 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1779449187.413807 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1779449187.413809 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1779449187.413810 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1779449187.413812 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1779449187.413814 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1779449187.413815 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1779449187.413817 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1779449187.413819 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1779449187.413820 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1779449187.413822 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1779449187.413824 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1779449187.413825 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1779449187.413827 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1779449187.413829 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1779449187.413831 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1779449187.413832 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1779449187.413834 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1779449187.413836 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1779449187.413837 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1779449187.413839 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1779449187.413841 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1779449187.413842 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1779449187.413844 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1779449187.413846 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1779449187.413848 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1779449187.413849 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1779449187.413851 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1779449187.413853 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1779449187.413854 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1779449187.413856 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1779449187.413858 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1779449187.413860 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1779449187.413861 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1779449187.413863 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1779449187.413865 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1779449187.413866 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1779449187.413868 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1779449187.413873 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1779449187.413875 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1779449187.413877 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1779449187.413878 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1779449187.413880 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1779449187.413882 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1779449187.413884 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1779449187.413885 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1779449187.413887 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1779449187.413889 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1779449187.413891 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1779449187.413892 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1779449187.413894 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1779449187.413896 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1779449187.413898 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1779449187.413899 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1779449187.413901 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1779449187.413905 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1779449187.413907 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1779449187.413908 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1779449187.413910 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1779449187.413912 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1779449187.413914 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1779449187.413915 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1779449187.413917 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1779449187.413919 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1779449187.413921 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1779449187.413922 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1779449187.413924 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1779449187.413926 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1779449187.413927 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1779449187.413929 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1779449187.413931 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1779449187.413933 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1779449187.413934 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1779449187.413936 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1779449187.413938 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1779449187.413940 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1779449187.413941 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1779449187.413943 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1779449187.413945 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1779449187.413946 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1779449187.413948 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1779449187.413950 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1779449187.413952 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1779449187.413954 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1779449187.413955 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1779449187.413957 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1779449187.413959 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1779449187.413961 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1779449187.413962 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1779449187.413964 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1779449187.413966 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1779449187.413968 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1779449187.413972 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1779449187.413974 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1779449187.413976 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1779449187.413978 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1779449187.413979 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1779449187.413981 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1779449187.413983 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1779449187.413985 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1779449187.413986 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1779449187.413988 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1779449187.413990 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1779449187.413992 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1779449187.413993 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1779449187.413995 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1779449187.413999 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1779449187.414001 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1779449187.414002 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1779449187.414004 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1779449187.414006 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1779449187.414008 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1779449187.414009 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1779449187.414011 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1779449187.414013 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1779449187.414015 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1779449187.414016 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1779449187.414018 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1779449187.414020 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1779449187.414022 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1779449187.414023 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1779449187.414025 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1779449187.414027 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1779449187.414029 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1779449187.414030 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1779449187.414032 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1779449187.414034 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1779449187.414035 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1779449187.414037 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1779449187.414039 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1779449187.414041 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1779449187.414042 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1779449187.414044 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1779449187.414046 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1779449187.414048 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1779449187.414049 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1779449187.414051 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1779449187.414053 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1779449187.414055 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1779449187.414068 yylex_token: end at WS
1779449187.414070 yylex_token: bind
1779449187.414073 yylex_token: end at WS
1779449187.414074 yylex_token: -N
1779449187.414076 yylex_token: end at WS
1779449187.414078 yylex_token: Send the prefix key
1779449187.414080 yylex_token: end at WS
1779449187.414081 yylex_token: C-b
1779449187.414083 yylex_token: end at WS
1779449187.414084 yylex_token: send-prefix
1779449187.414087 cmd_parse_build_commands 0:0: bind
1779449187.414092 cmd_parse_build_commands 0:1: -N
1779449187.414094 cmd_parse_build_commands 0:2: Send the prefix key
1779449187.414096 cmd_parse_build_commands 0:3: C-b
1779449187.414097 cmd_parse_build_commands 0:4 0:0: send-prefix
1779449187.414103 cmd_parse_build_commands 0:0: send-prefix
1779449187.414109 args_parse: flags end at 1 of 1
1779449187.414111 cmd_parse_build_commands: send-prefix
1779449187.414113 args_parse_flags: next -N
1779449187.414115 args_parse_flag_argument: -N = Send the prefix key
1779449187.414122 args_parse_flags: next C-b
1779449187.414123 args_parse: flags end at 3 of 5
1779449187.414125 args_parse: 3 = C-b (type STRING)
1779449187.414127 args_parse: 4 = send-prefix (type COMMANDS)
1779449187.414360 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1779449187.414365 cmdq_get_command: [bind-key/0x5a4820d21ed0] group 2
1779449187.414373 cmdq_append <global>: [bind-key/0x5a4820d21ed0]
1779449187.414376 yylex_token: end at WS
1779449187.414377 yylex_token: bind
1779449187.414379 yylex_token: end at WS
1779449187.414381 yylex_token: -N
1779449187.414383 yylex_token: end at WS
1779449187.414384 yylex_token: Rotate through the panes
1779449187.414386 yylex_token: end at WS
1779449187.414387 yylex_token: C-o
1779449187.414389 yylex_token: end at WS
1779449187.414391 yylex_token: rotate-window
1779449187.414393 cmd_parse_build_commands 0:0: bind
1779449187.414395 cmd_parse_build_commands 0:1: -N
1779449187.414397 cmd_parse_build_commands 0:2: Rotate through the panes
1779449187.414398 cmd_parse_build_commands 0:3: C-o
1779449187.414400 cmd_parse_build_commands 0:4 0:0: rotate-window
1779449187.414403 cmd_parse_build_commands 0:0: rotate-window
1779449187.414405 args_parse: flags end at 1 of 1
1779449187.414407 cmd_parse_build_commands: rotate-window
1779449187.414409 args_parse_flags: next -N
1779449187.414411 args_parse_flag_argument: -N = Rotate through the panes
1779449187.414413 args_parse_flags: next C-o
1779449187.414414 args_parse: flags end at 3 of 5
1779449187.414416 args_parse: 3 = C-o (type STRING)
1779449187.414418 args_parse: 4 = rotate-window (type COMMANDS)
1779449187.414422 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1779449187.414424 cmdq_get_command: [bind-key/0x5a4820d22470] group 10
1779449187.414425 cmdq_append <global>: [bind-key/0x5a4820d22470]
1779449187.414428 yylex_token: end at WS
1779449187.414429 yylex_token: bind
1779449187.414431 yylex_token: end at WS
1779449187.414432 yylex_token: -N
1779449187.414434 yylex_token: end at WS
1779449187.414436 yylex_token: Suspend the current client
1779449187.414438 yylex_token: end at WS
1779449187.414439 yylex_token: C-z
1779449187.414441 yylex_token: end at WS
1779449187.414443 yylex_token: suspend-client
1779449187.414445 cmd_parse_build_commands 0:0: bind
1779449187.414446 cmd_parse_build_commands 0:1: -N
1779449187.414448 cmd_parse_build_commands 0:2: Suspend the current client
1779449187.414450 cmd_parse_build_commands 0:3: C-z
1779449187.414452 cmd_parse_build_commands 0:4 0:0: suspend-client
1779449187.414454 cmd_parse_build_commands 0:0: suspend-client
1779449187.414457 args_parse: flags end at 1 of 1
1779449187.414459 cmd_parse_build_commands: suspend-client
1779449187.414460 args_parse_flags: next -N
1779449187.414462 args_parse_flag_argument: -N = Suspend the current client
1779449187.414463 args_parse_flags: next C-z
1779449187.414465 args_parse: flags end at 3 of 5
1779449187.414467 args_parse: 3 = C-z (type STRING)
1779449187.414469 args_parse: 4 = suspend-client (type COMMANDS)
1779449187.414472 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1779449187.414474 cmdq_get_command: [bind-key/0x5a4820d23560] group 18
1779449187.414475 cmdq_append <global>: [bind-key/0x5a4820d23560]
1779449187.414477 yylex_token: end at WS
1779449187.414479 yylex_token: bind
1779449187.414481 yylex_token: end at WS
1779449187.414482 yylex_token: -N
1779449187.414484 yylex_token: end at WS
1779449187.414485 yylex_token: Select next layout
1779449187.414492 yylex_token: end at WS
1779449187.414493 yylex_token: Space
1779449187.414495 yylex_token: end at WS
1779449187.414497 yylex_token: next-layout
1779449187.414499 cmd_parse_build_commands 0:0: bind
1779449187.414500 cmd_parse_build_commands 0:1: -N
1779449187.414502 cmd_parse_build_commands 0:2: Select next layout
1779449187.414503 cmd_parse_build_commands 0:3: Space
1779449187.414505 cmd_parse_build_commands 0:4 0:0: next-layout
1779449187.414507 cmd_parse_build_commands 0:0: next-layout
1779449187.414510 args_parse: flags end at 1 of 1
1779449187.414511 cmd_parse_build_commands: next-layout
1779449187.414513 args_parse_flags: next -N
1779449187.414515 args_parse_flag_argument: -N = Select next layout
1779449187.414516 args_parse_flags: next Space
1779449187.414518 args_parse: flags end at 3 of 5
1779449187.414519 args_parse: 3 = Space (type STRING)
1779449187.414521 args_parse: 4 = next-layout (type COMMANDS)
1779449187.414524 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1779449187.414526 cmdq_get_command: [bind-key/0x5a4820d23d00] group 26
1779449187.414528 cmdq_append <global>: [bind-key/0x5a4820d23d00]
1779449187.414530 yylex_token: end at WS
1779449187.414532 yylex_token: bind
1779449187.414533 yylex_token: end at WS
1779449187.414535 yylex_token: -N
1779449187.414536 yylex_token: end at WS
1779449187.414538 yylex_token: Break pane to a new window
1779449187.414540 yylex_token: end at WS
1779449187.414541 yylex_token: !
1779449187.414543 yylex_token: end at WS
1779449187.414544 yylex_token: break-pane
1779449187.414546 cmd_parse_build_commands 0:0: bind
1779449187.414548 cmd_parse_build_commands 0:1: -N
1779449187.414550 cmd_parse_build_commands 0:2: Break pane to a new window
1779449187.414551 cmd_parse_build_commands 0:3: !
1779449187.414553 cmd_parse_build_commands 0:4 0:0: break-pane
1779449187.414555 cmd_parse_build_commands 0:0: break-pane
1779449187.414557 args_parse: flags end at 1 of 1
1779449187.414559 cmd_parse_build_commands: break-pane
1779449187.414560 args_parse_flags: next -N
1779449187.414562 args_parse_flag_argument: -N = Break pane to a new window
1779449187.414563 args_parse_flags: next !
1779449187.414565 args_parse: flags end at 3 of 5
1779449187.414567 args_parse: 3 = ! (type STRING)
1779449187.414568 args_parse: 4 = break-pane (type COMMANDS)
1779449187.414571 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1779449187.414573 cmdq_get_command: [bind-key/0x5a4820d24320] group 34
1779449187.414575 cmdq_append <global>: [bind-key/0x5a4820d24320]
1779449187.414577 yylex_token: end at WS
1779449187.414579 yylex_token: bind
1779449187.414580 yylex_token: end at WS
1779449187.414582 yylex_token: -N
1779449187.414583 yylex_token: end at WS
1779449187.414585 yylex_token: Split window vertically
1779449187.414587 yylex_token: end at WS
1779449187.414588 yylex_token: "
1779449187.414590 yylex_token: end at WS
1779449187.414591 yylex_token: split-window
1779449187.414593 cmd_parse_build_commands 0:0: bind
1779449187.414595 cmd_parse_build_commands 0:1: -N
1779449187.414596 cmd_parse_build_commands 0:2: Split window vertically
1779449187.414598 cmd_parse_build_commands 0:3: "
1779449187.414600 cmd_parse_build_commands 0:4 0:0: split-window
1779449187.414602 cmd_parse_build_commands 0:0: split-window
1779449187.414604 args_parse: flags end at 1 of 1
1779449187.414606 cmd_parse_build_commands: split-window
1779449187.414608 args_parse_flags: next -N
1779449187.414610 args_parse_flag_argument: -N = Split window vertically
1779449187.414611 args_parse_flags: next "
1779449187.414613 args_parse: flags end at 3 of 5
1779449187.414614 args_parse: 3 = " (type STRING)
1779449187.414616 args_parse: 4 = split-window (type COMMANDS)
1779449187.414619 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1779449187.414621 cmdq_get_command: [bind-key/0x5a4820d1fda0] group 42
1779449187.414623 cmdq_append <global>: [bind-key/0x5a4820d1fda0]
1779449187.414625 yylex_token: end at WS
1779449187.414630 yylex_token: bind
1779449187.414631 yylex_token: end at WS
1779449187.414633 yylex_token: -N
1779449187.414635 yylex_token: end at WS
1779449187.414636 yylex_token: List all paste buffers
1779449187.414638 yylex_token: end at WS
1779449187.414639 yylex_token: #
1779449187.414641 yylex_token: end at WS
1779449187.414643 yylex_token: list-buffers
1779449187.414645 cmd_parse_build_commands 0:0: bind
1779449187.414646 cmd_parse_build_commands 0:1: -N
1779449187.414648 cmd_parse_build_commands 0:2: List all paste buffers
1779449187.414650 cmd_parse_build_commands 0:3: #
1779449187.414651 cmd_parse_build_commands 0:4 0:0: list-buffers
1779449187.414653 cmd_parse_build_commands 0:0: list-buffers
1779449187.414656 args_parse: flags end at 1 of 1
1779449187.414658 cmd_parse_build_commands: list-buffers
1779449187.414659 args_parse_flags: next -N
1779449187.414661 args_parse_flag_argument: -N = List all paste buffers
1779449187.414663 args_parse_flags: next #
1779449187.414664 args_parse: flags end at 3 of 5
1779449187.414666 args_parse: 3 = # (type STRING)
1779449187.414667 args_parse: 4 = list-buffers (type COMMANDS)
1779449187.414670 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1779449187.414672 cmdq_get_command: [bind-key/0x5a4820d20490] group 50
1779449187.414674 cmdq_append <global>: [bind-key/0x5a4820d20490]
1779449187.414686 yylex_token: end at WS
1779449187.414687 yylex_token: bind
1779449187.414689 yylex_token: end at WS
1779449187.414690 yylex_token: -N
1779449187.414692 yylex_token: end at WS
1779449187.414694 yylex_token: Rename current session
1779449187.414695 yylex_token: end at WS
